"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\dell\Downloads\project\src\App.tsx", "TypeScript JSX", 0, -321, 0, -7, -27, -355
"c:\Users\dell\Downloads\project\src\components\AIAnalytics.tsx", "TypeScript JSX", 0, -277, 0, -12, -28, -317
"c:\Users\dell\Downloads\project\src\components\AirQuality.tsx", "TypeScript JSX", 0, -180, 0, -6, -12, -198
"c:\Users\dell\Downloads\project\src\components\AlertsList.tsx", "TypeScript JSX", 0, -179, 0, -4, -22, -205
"c:\Users\dell\Downloads\project\src\components\AlertsPanel.tsx", "TypeScript JSX", 0, -230, 0, -5, -19, -254
"c:\Users\dell\Downloads\project\src\components\BillingHistory.tsx", "TypeScript JSX", 0, -165, 0, 0, -13, -178
"c:\Users\dell\Downloads\project\src\components\CitizenReports.tsx", "TypeScript JSX", 0, -286, 0, -5, -19, -310
"c:\Users\dell\Downloads\project\src\components\CookiePolicy.tsx", "TypeScript JSX", 0, -331, 0, -16, -33, -380
"c:\Users\dell\Downloads\project\src\components\CustomizationPanel.tsx", "TypeScript JSX", 0, -186, 0, -5, -19, -210
"c:\Users\dell\Downloads\project\src\components\Dashboard.tsx", "TypeScript JSX", 0, -449, 0, -13, -44, -506
"c:\Users\dell\Downloads\project\src\components\EnvironmentalMap.tsx", "TypeScript JSX", 0, -411, 0, -22, -41, -474
"c:\Users\dell\Downloads\project\src\components\Footer.tsx", "TypeScript JSX", 0, -250, 0, -7, -14, -271
"c:\Users\dell\Downloads\project\src\components\Header.tsx", "TypeScript JSX", 0, -738, 0, -24, -52, -814
"c:\Users\dell\Downloads\project\src\components\IoTDashboard.tsx", "TypeScript JSX", 0, -284, 0, -7, -26, -317
"c:\Users\dell\Downloads\project\src\components\LoginPage.tsx", "TypeScript JSX", 0, -216, 0, -11, -27, -254
"c:\Users\dell\Downloads\project\src\components\NoiseMonitoring.tsx", "TypeScript JSX", 0, -210, 0, -7, -15, -232
"c:\Users\dell\Downloads\project\src\components\PolicyPages.tsx", "TypeScript JSX", 0, -177, 0, 0, -28, -205
"c:\Users\dell\Downloads\project\src\components\PredictiveAnalytics.tsx", "TypeScript JSX", 0, -317, 0, -7, -16, -340
"c:\Users\dell\Downloads\project\src\components\PredictiveInsights.tsx", "TypeScript JSX", 0, -216, 0, -6, -20, -242
"c:\Users\dell\Downloads\project\src\components\PricingPage.tsx", "TypeScript JSX", 0, -447, 0, -14, -33, -494
"c:\Users\dell\Downloads\project\src\components\PrivacyPolicy.tsx", "TypeScript JSX", 0, -232, 0, -10, -24, -266
"c:\Users\dell\Downloads\project\src\components\QuickStats.tsx", "TypeScript JSX", 0, -157, 0, -5, -16, -178
"c:\Users\dell\Downloads\project\src\components\RecentActivity.tsx", "TypeScript JSX", 0, -160, 0, -4, -16, -180
"c:\Users\dell\Downloads\project\src\components\SecurityPanel.tsx", "TypeScript JSX", 0, -329, 0, -8, -23, -360
"c:\Users\dell\Downloads\project\src\components\SensorSetup.tsx", "TypeScript JSX", 0, -285, 0, -5, -24, -314
"c:\Users\dell\Downloads\project\src\components\SubscriptionManagement.tsx", "TypeScript JSX", 0, -245, 0, -2, -23, -270
"c:\Users\dell\Downloads\project\src\components\SubscriptionStatus.tsx", "TypeScript JSX", 0, -179, 0, 0, -18, -197
